p_date,sostype,refer_domain,pv,page_uv
20190615,,www.tiyanbar.com,1,1
20190616,android,10.64.242.238,2,2
20190617,,event.topbase.oa.com,174,7
20190615,,www.jianshu.com,3,3
20190614,,my.ie.2345.com,1,1
20190620,,fly.cdposs.qq.com,12,1
20190614,android,m.yz2.sm.cn,7,6
20190617,,info_platform.wsd.com,149,2
20190615,iphone,tw.images.search.yahoo.com,1,1
20190615,iphone,www.google.co.ve,1,1
20190614,android,10.10.10.1,2,2
20190619,iphone,localhost,2,1
20190616,,www.gnet.com.cn,836,24
20190618,,wap.sogou.com,106,98
20190618,iphone,cd.qq.com,13,4
20190614,,ga.qt.jc.xj.yuqing.pro,1,1
20190617,android,m.lfxhzxo.cn,1,1
20190617,android,mobile.gsdata.cn,3,2
20190620,,fj.qq.com,75,36
20190619,,106.12.98.228,1,1
20190614,,zhidao.baidu.com,7,7
20190614,android,wap.sogou.com,8161,7627
20190619,android,zixuncooperation.html5.qq.com,30,29
20190618,,www.google.com.vn,8,5
